original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
Sedoheptulose-7-Phosphat,Sedoheptulose-7-phosphate,sedoheptulose-7-phosphat,,"InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7-/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/sedoheptulose-7-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/sedoheptulose-7-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Serin,Serine,serin,,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)",assets/molecules/vorhanden/aminosaeuren/serin__skeletal.svg,,structure,resolved,generated_structure,
Squalen,Squalene,squalen,,"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+",assets/molecules/vorhanden/isoprenoide_sterole/squalen__skeletal.svg,assets/molecules/vorhanden/isoprenoide_sterole/squalen__full_atoms.svg,structure,resolved,generated_structure,
"Squalen-2,3-Epoxid","Squalene-2,3-epoxide",squalen-2-3-epoxid,,"InChI=1S/C30H50O/c1-24(2)14-11-17-27(5)20-12-18-25(3)15-9-10-16-26(4)19-13-21-28(6)22-23-29-30(7,8)31-29/h14-16,20-21,29H,9-13,17-19,22-23H2,1-8H3/b25-15+,26-16+,27-20+,28-21+",assets/molecules/vorhanden/isoprenoide_sterole/squalen-2-3-epoxid__skeletal.svg,assets/molecules/vorhanden/isoprenoide_sterole/squalen-2-3-epoxid__full_atoms.svg,structure,resolved,generated_structure,
Succinat,Succinate,succinat,,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",assets/molecules/vorhanden/citratzyklus/succinat__skeletal.svg,assets/molecules/vorhanden/citratzyklus/succinat__full_atoms.svg,structure,resolved,generated_structure,
Succinyl-CoA,Succinyl-CoA,succinyl-coa,,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t13-,18-,19-,20+,24-/m1/s1",assets/molecules/vorhanden/coa_thioester/succinyl-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/succinyl-coa__full_atoms.svg,structure,resolved,generated_structure,
THF,THF,thf,,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,assets/molecules/vorhanden/redox_cofaktoren/thf__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/thf__full_atoms.svg,structure,resolved,generated_structure,
Triacylglycerin,Triacylglycerol,triacylglycerin,,"InChI=1S/C57H110O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h54H,4-53H2,1-3H3",assets/molecules/vorhanden/lipide/triacylglycerin__skeletal.svg,assets/molecules/vorhanden/lipide/triacylglycerin__full_atoms.svg,structure,resolved,generated_structure,
UDP-Galaktose,UDP-Galactose,udp-galaktose,,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/udp-galaktose__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/udp-galaktose__full_atoms.svg,structure,resolved,generated_structure,
UDP-Glucose,UDP-Glucose,udp-glucose,,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/udp-glucose__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/udp-glucose__full_atoms.svg,structure,resolved,generated_structure,
Xylulose-5-Phosphat,Xylulose-5-phosphate,xylulose-5-phosphat,,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/xylulose-5-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/xylulose-5-phosphat__full_atoms.svg,structure,resolved,generated_structure,
α-Ketobutyrat,alpha-ketobutyrate,alpha-ketobutyrat,,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",assets/molecules/vorhanden/aminosaeuren_metabolite/alpha-ketobutyrat__skeletal.svg,assets/molecules/vorhanden/aminosaeuren_metabolite/alpha-ketobutyrat__full_atoms.svg,structure,resolved,generated_structure,
α-Ketoglutarat,alpha-ketoglutarate,alpha-ketoglutarat,,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",assets/molecules/vorhanden/citratzyklus/alpha-ketoglutarat__skeletal.svg,assets/molecules/vorhanden/citratzyklus/alpha-ketoglutarat__full_atoms.svg,structure,resolved,generated_structure,
α-Ketosäure,alpha-keto acid,alpha-ketosaeure,,,assets/molecules/nicht_vorhanden/alpha-ketosaeure__skeletal.svg,assets/molecules/nicht_vorhanden/alpha-ketosaeure__full_atoms.svg,placeholder,unresolved,generated_placeholder,placeholder_term
β-Hydroxybutyrat,beta-hydroxybutyrate,beta-hydroxybutyrat,,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)",assets/molecules/vorhanden/ketonkoerper/beta-hydroxybutyrat__skeletal.svg,assets/molecules/vorhanden/ketonkoerper/beta-hydroxybutyrat__full_atoms.svg,structure,resolved,generated_structure,
Glycin,Glycine,glycin,NCC(=O)O,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",assets/molecules/vorhanden/aminosaeuren/glycin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Alanin,L-Alanine,l-alanin,C[C@@H](N)C(=O)O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-alanin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Valin,L-Valine,l-valin,CC(C)[C@@H](N)C(=O)O,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-valin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Leucin,L-Leucine,l-leucin,CC(C)C[C@@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-leucin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Isoleucin,L-Isoleucine,l-isoleucin,CC[C@H](C)[C@@H](N)C(=O)O,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5+/m0/s1",assets/molecules/vorhanden/aminosaeuren/l-isoleucin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Prolin,L-Proline,l-prolin,O=C(O)[C@@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",assets/molecules/vorhanden/aminosaeuren/l-prolin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Threonin,L-Threonine,l-threonin,C[C@@H](O)[C@H](N)C(=O)O,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-threonin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Asparagin,L-Asparagine,l-asparagin,NC(=O)C[C@@H](N)C(=O)O,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-asparagin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Glutamin,L-Glutamine,l-glutamin,NC(=O)CC[C@@H](N)C(=O)O,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-glutamin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Lysin,L-Lysine,l-lysin,NCCCC[C@@H](N)C(=O)O,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m1/s1",assets/molecules/vorhanden/aminosaeuren/l-lysin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Histidin,L-Histidine,l-histidin,N[C@@H](Cc1cnc[nH]1)C(=O)O,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",assets/molecules/vorhanden/aminosaeuren/l-histidin__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
L-Tryptophan,L-Tryptophan,l-tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",assets/molecules/vorhanden/aminosaeuren/l-tryptophan__skeletal.svg,,structure,resolved,generated_structure,standard_amino_acid_rdkit
